candidate	cluster_center	min_distance	max_distance	candi_distance	cos	synscore
westminster	abbey	0.0	0.0	1.0561385	0.44228566	0.47620067
precincts	abbey	0.0	0.0	1.0840695	0.4123968	0.051089603
spire	abbey	0.0	0.0	1.1541203	0.33400315	0.41848403
mansfield	abbey	0.0	0.0	1.1461527	0.34316692	0.0053821295
rectory	abbey	0.0	0.0	1.1558863	0.3319635	0.00080714433
cathedral	abbey	0.0	0.0	1.1110555	0.38277775	0.0041766474
nuns	abbey	0.0	0.0	1.1631675	0.32352072	0.051089603
abbey	abbey	0.0	0.0	0.0	1.0	0.43087593
germain	abbey	0.0	0.0	1.1324569	0.3587707	0.051089603
parish	abbey	0.0	0.0	1.1400791	0.35010985	0.18506742
repugnance	abhorrence	0.0	1.0	0.9351528	0.5627447	0.9999969
deserving	abhorrence	0.0	1.0	1.0224458	0.4773024	0.9828304
impertinence	abhorrence	0.0	1.0	1.032988	0.466468	0.9999981
abhorrence	abhorrence	0.0	1.0	0.0	1.0000001	0.9999871
hatred	abhorrence	0.0	1.0	1.029953	0.4695985	0.99998236
boldness	abhorrence	0.0	1.0	1.024156	0.47555232	0.99806696
censure	abhorrence	0.0	1.0	1.0128874	0.48702964	0.9966175
affectation	abhorrence	0.0	1.0	1.0027153	0.49728104	0.9979506
forbearance	abhorrence	0.0	1.0	1.0316993	0.46779832	0.99999917
mistrust	abhorrence	0.0	1.0	1.0403663	0.45881894	0.99999595
exaggerate	ability	0.0	1.1090369	1.1390711	0.33002913	2.8385364e-05
faith	ability	0.0	1.1090369	1.1438657	0.41802382	0.005573912
courage	ability	0.0	1.1090369	1.101294	0.41258082	1.7009451e-06
skill	ability	0.0	1.1090369	1.1177087	0.4319088	0.0059135463
masculine	ability	0.0	1.1090369	1.1414678	0.31718937	1.9662914e-06
strength	ability	0.0	1.1090369	1.1185131	0.4811674	3.3271383e-05
prided	ability	0.0	1.1090369	1.0774051	0.39682567	2.8385364e-05
ability	ability	0.0	1.1090369	0.0	0.8321714	0.00014953026
abilities	ability	0.0	1.1090369	1.1346816	0.3726621	2.8385364e-05
abode	abode	0.0	1.3076782	0.0	0.6776948	0.9999851
precincts	abode	0.0	1.3076782	1.151974	0.31246966	0.99217623
residence	abode	0.0	1.3076782	1.1038018	0.38497233	0.9997844
lowick	abode	0.0	1.3076782	1.1580358	0.3639654	0.99217623
lodgings	abode	0.0	1.3076782	1.1305456	0.3729037	0.999995
lodging	abode	0.0	1.3076782	1.1623808	0.31107998	0.99999976
reigned	abode	0.0	1.3076782	1.1712731	0.25705257	0.99217623
restore	abode	0.0	1.3076782	1.172232	0.2716455	0.99217623
inmates	abode	0.0	1.3076782	1.1648048	0.30757552	0.99217623
place	abode	0.0	1.3076782	1.1462692	0.3975459	0.9999361
interview	absence	0.0	0.0	1.1771117	0.3072039	0.08101522
presence	absence	0.0	0.0	1.0949224	0.40057236	0.008267566
absence	absence	0.0	0.0	0.0	1.0	5.7197926e-06
owing	absence	0.0	0.0	1.1839821	0.29909322	0.00035397356
longbourn	absence	0.0	0.0	1.1850989	0.29777035	0.00035397356
departure	absence	0.0	0.0	1.1046202	0.38990715	0.10146557
consequent	absence	0.0	0.0	1.1679378	0.3179607	0.00035397356
arising	absence	0.0	0.0	1.1817946	0.30168074	0.00035397356
prolonged	absence	0.0	0.0	1.1489055	0.34000808	0.00035397356
weeks	absence	0.0	0.0	1.1687461	0.31701624	0.00035397356
dreamy	abstraction	0.0	0.0	1.1290747	0.36259514	3.2289736e-05
pervading	abstraction	0.0	0.0	1.1525894	0.3357688	3.2289736e-05
intoxication	abstraction	0.0	0.0	1.1104184	0.38348538	0.000109409295
impersonal	abstraction	0.0	0.0	1.1447695	0.34475145	3.2289736e-05
brooded	abstraction	0.0	0.0	1.1380866	0.35237944	3.2289736e-05
grandeur	abstraction	0.0	0.0	1.1572323	0.3304067	5.6102854e-06
activity	abstraction	0.0	0.0	1.1492803	0.3395773	0.00034964454
abstraction	abstraction	0.0	0.0	0.0	0.99999994	2.5512693e-06
relapsed	abstraction	0.0	0.0	1.1282737	0.3634992	3.2289736e-05
pensive	abstraction	0.0	0.0	1.1287979	0.3629077	3.2289736e-05
impossibility	absurdity	0.0	0.99999994	1.1288377	0.3628627	0.9881364
ludicrous	absurdity	0.0	0.99999994	1.1257602	0.36633202	0.99943024
absurdity	absurdity	0.0	0.99999994	0.0	0.99999994	0.99999857
preposterous	absurdity	0.0	0.99999994	1.1027201	0.3920041	0.99943024
humiliating	absurdity	0.0	0.99999994	1.1547513	0.33327472	0.99943024
futility	absurdity	0.0	0.99999994	1.0936685	0.40194467	0.99943024
downright	absurdity	0.0	0.99999994	1.1542072	0.33390272	0.99943024
annoying	absurdity	0.0	0.99999994	1.1572875	0.33034283	0.99999976
affectation	absurdity	0.0	0.99999994	1.1413064	0.34870988	0.99979144
inherent	absurdity	0.0	0.99999994	1.1081228	0.38603184	0.99943024
abundance	abundance	0.0	0.0	0.0	1.0000001	0.00016672541
scented	abundance	0.0	0.0	1.157135	0.3305192	0.0001427443
vegetables	abundance	0.0	0.0	1.1355126	0.3553056	0.0001427443
countless	abundance	0.0	0.0	1.1428233	0.34697747	0.0001427443
sow	abundance	0.0	0.0	1.1592385	0.3280831	2.3367853e-05
abundant	abundance	0.0	0.0	1.1119075	0.38183093	0.0001427443
plentiful	abundance	0.0	0.0	1.067953	0.4297382	0.0001427443
oats	abundance	0.0	0.0	1.1524093	0.33597645	0.0001427443
supply	abundance	0.0	0.0	1.1529131	0.33539572	0.0010914656
profusion	abundance	0.0	0.0	1.0949981	0.40048963	0.00076712645
reproach	abuse	0.0	0.0	1.1671535	0.31887648	2.144505e-06
praise	abuse	0.0	0.0	1.1341699	0.35682935	0.9918528
insulting	abuse	0.0	0.0	1.1337054	0.35735598	0.119272046
heartless	abuse	0.0	0.0	1.1552134	0.33274108	0.119272046
abuse	abuse	0.0	0.0	0.0	1.0000001	0.9985518
parson	abuse	0.0	0.0	1.1643194	0.3221802	0.999998
downright	abuse	0.0	0.0	1.1135008	0.38005808	0.119272046
threats	abuse	0.0	0.0	1.1594915	0.32778978	0.119272046
abused	abuse	0.0	0.0	1.1636647	0.32294226	0.119272046
censure	abuse	0.0	0.0	1.0794569	0.41738644	0.9858965
eternity	abyss	0.0	0.0	1.1552844	0.33265898	0.038469322
precipice	abyss	0.0	0.0	1.099327	0.39574015	2.1892984e-05
brink	abyss	0.0	0.0	1.087818	0.4083261	0.9345357
vast	abyss	0.0	0.0	1.1593364	0.32796952	0.03180207
crater	abyss	0.0	0.0	1.1399286	0.35028136	1.3189498e-05
abyss	abyss	0.0	0.0	0.0	0.99999994	0.00036092725
plunge	abyss	0.0	0.0	1.1304501	0.36104116	0.9484567
depths	abyss	0.0	0.0	1.0708681	0.4266207	0.03180207
headlong	abyss	0.0	0.0	1.1521244	0.33630466	0.03180207
flakes	abyss	0.0	0.0	1.1498766	0.33889183	0.03180207
institute	academy	0.0	0.0	1.064679	0.43322933	2.0077212e-06
sciences	academy	0.0	0.0	1.0212259	0.47854888	1.8876603e-05
detroit	academy	0.0	0.0	1.0935098	0.4021182	6.397884e-06
national	academy	0.0	0.0	1.0949321	0.40056196	3.6006963e-07
president	academy	0.0	0.0	1.0967771	0.39854005	3.237416e-05
arts	academy	0.0	0.0	1.0923568	0.4033783	1.0383236e-05
executive	academy	0.0	0.0	1.096208	0.39916402	6.8739007e-07
academy	academy	0.0	0.0	0.0	1.0	8.868273e-07
theatre	academy	0.0	0.0	1.0884457	0.407643	4.228122e-06
royal	academy	0.0	0.0	1.0678648	0.42983243	8.967155e-07
accents	accent	0.0	0.0	1.1392957	0.35100272	0.15982664
scottish	accent	0.0	0.0	1.1371014	0.35350016	0.15982664
expressive	accent	0.0	0.0	1.126895	0.3650539	0.15982664
finality	accent	0.0	0.0	1.1368852	0.353746	0.9996389
voice	accent	0.0	0.0	1.129888	0.36167642	0.99958557
tone	accent	0.0	0.0	1.1226479	0.36983085	0.9999354
english	accent	0.0	0.0	1.1100682	0.3838743	0.97756404
language	accent	0.0	0.0	1.1259595	0.3661077	0.1695927
masculine	accent	0.0	0.0	1.116885	0.37628394	0.00026532184
accent	accent	0.0	0.0	0.0	1.0	0.98597604
accept	acceptance	0.0	1.0	1.1323435	0.3588991	0.2943418
bribe	acceptance	0.0	1.0	1.143204	0.34654242	0.11267009
acknowledgment	acceptance	0.0	1.0	1.1191038	0.37380332	0.425338
acceptance	acceptance	0.0	1.0	0.0	1.0	0.51745474
affecting	acceptance	0.0	1.0	1.1178145	0.37524536	0.2943418
